"OWNER_CODE","DISCOVERY_DOY","FIRE_SIZE","LATITUDE","LONGITUDE","STAT_CAUSE_DESCR"
14,253,0.1,33.37055556,-116.74972222,"Children"
5,43,2.5,33.74277778,-111.49555556,"Children"
13,168,0.1,39.65222222,-120.41916667,"Children"
13,140,0.1,38.15222222,-120.23416667,"Children"
5,138,0.5,46.45,-84.65055556,"Children"
5,103,2.4,33.92666667,-109.18555556,"Children"
13,142,0.25,44.24555556,-86.22305556,"Children"
13,132,0.1,34.29972222,-118.24861111,"Children"
5,177,17.6,40.32388889,-111.63361111,"Children"
13,224,0.25,38.75,-119.81388889,"Children"
14,186,0.1,36.96972222,-119.31944444,"Children"
13,212,0.1,45.16416667,-88.50361111,"Children"
5,161,0.1,39.79,-120.65611111,"Children"
5,251,0.1,48.37777778,-114.0575,"Children"
5,131,0.1,36.31194444,-115.60694444,"Children"
5,169,0.1,34.85527778,-119.17527778,"Children"
5,186,0.6,43.83138889,-121.4275,"Children"
13,144,1.8,43.52361111,-85.85472222,"Children"
5,50,0.1,31.20416667,-93.74166667,"Children"
13,316,0.2,32.83055556,-116.52305556,"Children"
5,149,0.5,33.84583333,-109.31166667,"Children"
5,186,0.1,35.29166667,-111.625,"Children"
5,187,0.1,35.29166667,-111.625,"Children"
13,127,0.01,43.69166667,-85.81694444,"Children"
5,178,0.1,43.66583333,-121.75194444,"Children"
5,197,0.1,47.94555556,-113.55277778,"Children"
5,180,0.1,60.48277778,-149.8875,"Children"
13,122,3,47.59361111,-93.95611111,"Children"
13,21,2,33.78111111,-117.49972222,"Children"
13,210,3,39.70416667,-121.30194444,"Children"
5,143,1,34.44861111,-110.58694444,"Children"
5,111,36,47.46722222,-92.12305556,"Children"
5,201,0.1,34.22888889,-117.76833333,"Children"
13,107,0.1,43.6875,-85.81583333,"Children"
14,99,6.54,31.13555556,-88.87861111,"Children"
13,111,0.1,47.89833333,-91.86861111,"Children"
5,78,0.1,28.98166667,-81.66305556,"Children"
5,329,15,33.44083333,-97.57361111,"Children"
13,123,4,47.10833333,-94.5525,"Children"
13,97,0.01,41.08416667,-122.70138889,"Children"
5,224,0.1,43.80194444,-122.56138889,"Children"
5,273,0.1,44.30972222,-121.57583333,"Children"
5,161,0.25,32.66222222,-109.86861111,"Children"
5,189,0.1,32.90444444,-105.55833333,"Children"
13,136,0.1,34.36388889,-117.64027778,"Children"
5,135,0.4,36.41638889,-82.04472222,"Children"
5,110,60,35.73861111,-83.04055556,"Children"
5,147,0.1,34.79111111,-111.475,"Children"
13,195,0.1,47.34888889,-94.22,"Children"
5,64,0.25,34.32805556,-110.80444444,"Children"
5,159,0.1,29.165,-81.55277778,"Children"
13,193,0.03,45.72194444,-121.46833333,"Children"
14,275,0.1,34.4525,-118.20083333,"Children"
5,224,2.5,36.645,-91.14916667,"Children"
5,132,0.5,33.295,-110.86861111,"Children"
5,268,1,34.3325,-118.02638889,"Children"
14,244,0.1,33.56805556,-116.66138889,"Children"
5,185,0.1,36.3075,-115.62611111,"Children"
13,130,0.1,47.17722222,-94.29833333,"Children"
5,174,0.2,40.20111111,-107.08833333,"Children"
14,144,1,48.3825,-114.02944444,"Debris Burning"
5,106,2.2,38.86861111,-79.36194444,"Debris Burning"
13,49,3,34.93833333,-83.08,"Debris Burning"
5,38,0.1,39.465,-119.85333333,"Debris Burning"
5,101,0.25,39.66888889,-120.27111111,"Debris Burning"
14,117,11,35.61333333,-94.44944444,"Debris Burning"
13,105,0.1,44.28388889,-83.56777778,"Debris Burning"
5,340,3,34.75361111,-111.66861111,"Debris Burning"
13,315,4.53,37.52916667,-91.29972222,"Debris Burning"
13,153,0.25,40.03916667,-120.995,"Debris Burning"
13,128,0.2,47.0475,-114.73527778,"Debris Burning"
13,131,0.8,39.99416667,-120.98694444,"Debris Burning"
5,10,0.1,33.65055556,-117.41277778,"Debris Burning"
13,201,0.1,47.65472222,-115.38694444,"Debris Burning"
5,98,5,34.40194444,-94.65638889,"Debris Burning"
13,82,11,37.57944444,-92.31638889,"Debris Burning"
13,58,35,34.80416667,-94.27888889,"Debris Burning"
13,290,0.25,41.2975,-123.54027778,"Debris Burning"
5,108,0.2,44.31416667,-83.69666667,"Debris Burning"
5,121,0.1,46.12638889,-113.3875,"Debris Burning"
13,136,0.2,48.41972222,-114.66083333,"Debris Burning"
13,71,7,33.32111111,-81.79444444,"Debris Burning"
14,146,1.5,33.11111111,-79.5075,"Debris Burning"
13,120,0.5,43.98166667,-85.09027778,"Debris Burning"
5,240,0.1,45.14527778,-109.68833333,"Debris Burning"
14,100,8,35.25166667,-83.31,"Debris Burning"
13,317,0.5,35.82305556,-82.13916667,"Debris Burning"
14,75,198,36.93111111,-92.89555556,"Debris Burning"
13,170,0.01,38.84916667,-120.36916667,"Debris Burning"
13,120,6,36.1675,-82.39722222,"Debris Burning"
13,76,1,43.41888889,-85.6925,"Debris Burning"
5,144,0.25,44.08277778,-116.11416667,"Debris Burning"
14,107,0.1,35.62333333,-82.20333333,"Debris Burning"
13,148,0.1,47.87777778,-91.83166667,"Debris Burning"
